Mon Feb 01 08:38:18 PM - Connection lost with API...
Mon Feb 01 08:38:28 PM - Connection lost with API...
Mon Feb 01 08:38:33 PM - Connection lost with API...
Mon Feb 01 08:38:38 PM - Connection lost with API...
Mon Feb 01 08:38:43 PM - Connection lost with API...
Mon Feb 01 08:38:50 PM - Connection lost with API...
Mon Feb 01 08:38:53 PM - Connection lost with API...
Mon Feb 01 08:38:58 PM - Connection lost with API...
Tue Feb 02 12:40:05 PM - Calculated RSI for FB: 51.891891891891625
Tue Feb 02 12:41:02 PM - Calculated RSI for GOOGL: 33.8521400778215
Tue Feb 02 12:41:03 PM - Calculated RSI for NVDA: 55.76208178438549
Tue Feb 02 12:41:04 PM - Calculated RSI for AAPL: 63.888888888887905
Tue Feb 02 12:41:05 PM - Calculated RSI for NVAX: 37.58928571428589
Tue Feb 02 12:41:07 PM - Calculated RSI for FB: 50.26178010471179
Tue Feb 02 12:42:02 PM - Calculated RSI for GOOGL: 27.83751493428923
Tue Feb 02 12:42:04 PM - Calculated RSI for NVDA: 63.843648208469205
Tue Feb 02 12:42:05 PM - Calculated RSI for AAPL: 58.33333333333037
Tue Feb 02 12:42:07 PM - Calculated RSI for NVAX: 38.69485294117662
Tue Feb 02 12:42:08 PM - Calculated RSI for FB: 46.92737430167573
Tue Feb 02 12:43:02 PM - Calculated RSI for GOOGL: 29.781931464174363
Tue Feb 02 12:43:03 PM - Calculated RSI for NVDA: 64.68646864686404
Tue Feb 02 12:43:04 PM - Calculated RSI for AAPL: 59.722222222221724
Tue Feb 02 12:43:05 PM - Calculated RSI for NVAX: 35.56985294117668
Tue Feb 02 12:43:06 PM - Calculated RSI for FB: 39.49044585987384
Tue Feb 02 12:44:01 PM - Calculated RSI for GOOGL: 35.269461077844326
Tue Feb 02 12:44:02 PM - Calculated RSI for NVDA: 64.09395973154216
Tue Feb 02 12:44:03 PM - Calculated RSI for AAPL: 60.27397260273866
Tue Feb 02 12:44:04 PM - Calculated RSI for NVAX: 33.30341113105928
Tue Feb 02 12:44:05 PM - Calculated RSI for FB: 49.39759036144636
Tue Feb 02 12:45:05 PM - Calculated RSI for GOOGL: 34.24574209245749
Tue Feb 02 12:45:06 PM - Calculated RSI for NVDA: 63.973063973064
Tue Feb 02 12:45:07 PM - Calculated RSI for AAPL: 42.85714285714576
Tue Feb 02 12:45:08 PM - Calculated RSI for NVAX: 35.56149732620335
Tue Feb 02 12:45:09 PM - Calculated RSI for FB: 53.63128491620083
Tue Feb 02 12:46:05 PM - Calculated RSI for GOOGL: 22.016706443914117
Tue Feb 02 12:46:06 PM - Calculated RSI for NVDA: 59.9369085173495
Tue Feb 02 12:46:07 PM - Calculated RSI for AAPL: 24.52830188679701
Tue Feb 02 12:46:08 PM - Calculated RSI for NVAX: 39.6636993076162
Tue Feb 02 12:46:09 PM - Calculated RSI for FB: 42.857142857143714
Tue Feb 02 12:47:05 PM - Calculated RSI for GOOGL: 26.635514018691623
Tue Feb 02 12:47:06 PM - Calculated RSI for NVDA: 65.29209621993002
Tue Feb 02 12:47:07 PM - Calculated RSI for AAPL: 22.033898305090304
Tue Feb 02 12:47:08 PM - Calculated RSI for NVAX: 39.12195121951245
Tue Feb 02 12:47:09 PM - Calculated RSI for FB: 47.25274725274834
Tue Feb 02 12:48:05 PM - Calculated RSI for GOOGL: 33.110164333535494
Tue Feb 02 12:48:06 PM - Calculated RSI for NVDA: 68.23899371069031
Tue Feb 02 12:48:07 PM - Calculated RSI for AAPL: 35.71428571428825
Tue Feb 02 12:48:08 PM - Calculated RSI for NVAX: 36.58536585365865
Tue Feb 02 12:49:05 PM - Calculated RSI for GOOGL: 27.03363914373047
Tue Feb 02 12:49:06 PM - Calculated RSI for NVDA: 56.96202531645638
Tue Feb 02 12:49:08 PM - Calculated RSI for AAPL: 34.48275862069168
Tue Feb 02 12:49:10 PM - Calculated RSI for NVAX: 35.43307086614186
Tue Feb 02 12:49:11 PM - Calculated RSI for FB: 35.416666666667595
Tue Feb 02 12:50:05 PM - Calculated RSI for GOOGL: 29.885057471263863
Tue Feb 02 12:50:06 PM - Calculated RSI for NVDA: 58.63192182410332
Tue Feb 02 12:50:07 PM - Calculated RSI for AAPL: 37.03703703704016
Tue Feb 02 12:50:09 PM - Calculated RSI for NVAX: 30.716723549488023
Tue Feb 02 12:50:10 PM - Calculated RSI for FB: 35.051546391753845
Tue Feb 02 12:51:05 PM - Calculated RSI for GOOGL: 35.743243243243114
Tue Feb 02 12:51:06 PM - Calculated RSI for NVDA: 64.11149825783819
Tue Feb 02 12:51:08 PM - Calculated RSI for AAPL: 37.037037037036846
Tue Feb 02 12:51:09 PM - Calculated RSI for NVAX: 34.6576500422655
Tue Feb 02 12:51:10 PM - Calculated RSI for FB: 33.160621761658206
Tue Feb 02 12:52:06 PM - Calculated RSI for GOOGL: 34.1731266149868
Tue Feb 02 12:52:07 PM - Calculated RSI for NVDA: 59.354838709678006
Tue Feb 02 12:52:08 PM - Calculated RSI for AAPL: 38.46153846154098
Tue Feb 02 12:52:09 PM - Calculated RSI for NVAX: 32.77378097521988
Tue Feb 02 12:52:10 PM - Calculated RSI for FB: 44.041450777203444
Tue Feb 02 12:53:05 PM - Calculated RSI for GOOGL: 38.669590643274404
Tue Feb 02 12:53:07 PM - Calculated RSI for NVDA: 55.374592833876804
Tue Feb 02 12:53:08 PM - Calculated RSI for AAPL: 33.33333333333333
Tue Feb 02 12:53:09 PM - Calculated RSI for NVAX: 45.28954191875555
Tue Feb 02 12:53:10 PM - Calculated RSI for FB: 43.81443298969102
Tue Feb 02 12:54:05 PM - Calculated RSI for GOOGL: 34.565050038491194
Tue Feb 02 12:54:06 PM - Calculated RSI for NVDA: 60.68111455108437
Tue Feb 02 12:54:08 PM - Calculated RSI for AAPL: 35.593220338985574
Tue Feb 02 12:54:09 PM - Calculated RSI for NVAX: 46.446700507614096
Tue Feb 02 12:54:10 PM - Calculated RSI for FB: 39.68253968254121
Tue Feb 02 12:55:05 PM - Calculated RSI for GOOGL: 39.489885664028606
Tue Feb 02 12:55:06 PM - Calculated RSI for NVDA: 55.9105431309905
Tue Feb 02 12:55:07 PM - Calculated RSI for AAPL: 34.4262295081987
Tue Feb 02 12:55:09 PM - Calculated RSI for NVAX: 47.923875432525875
Tue Feb 02 12:55:10 PM - Calculated RSI for FB: 36.41304347826193
Tue Feb 02 12:56:05 PM - Calculated RSI for GOOGL: 33.28391401037811
Tue Feb 02 12:56:06 PM - Calculated RSI for NVDA: 45.62500000000048
Tue Feb 02 12:56:07 PM - Calculated RSI for AAPL: 23.636363636365047
Tue Feb 02 12:56:08 PM - Calculated RSI for NVAX: 40.63116370808665
Tue Feb 02 12:56:09 PM - Calculated RSI for FB: 39.459459459460604
Tue Feb 02 12:57:05 PM - Calculated RSI for GOOGL: 49.32384341636992
Tue Feb 02 12:57:06 PM - Calculated RSI for NVDA: 31.94888178913743
Tue Feb 02 12:57:07 PM - Calculated RSI for AAPL: 28.301886792456173
Tue Feb 02 12:57:08 PM - Calculated RSI for NVAX: 37.93738489871086
Tue Feb 02 12:57:09 PM - Calculated RSI for FB: 47.7011494252879
Tue Feb 02 12:58:05 PM - Calculated RSI for GOOGL: 45.15915119363463
Tue Feb 02 12:58:06 PM - Calculated RSI for NVDA: 30.39513677811584
Tue Feb 02 12:58:07 PM - Calculated RSI for AAPL: 23.728813559323257
Tue Feb 02 12:58:08 PM - Calculated RSI for NVAX: 38.649155722326405
Tue Feb 02 12:58:09 PM - Calculated RSI for FB: 40.68627450980438
Tue Feb 02 12:59:04 PM - Calculated RSI for GOOGL: 41.88334504567835
Tue Feb 02 12:59:05 PM - Calculated RSI for NVDA: 34.00576368876237
Tue Feb 02 12:59:06 PM - Calculated RSI for AAPL: 23.728813559323257
Tue Feb 02 12:59:07 PM - Calculated RSI for NVAX: 38.397017707362714
Tue Feb 02 12:59:08 PM - Calculated RSI for FB: 45.49549549549453
Tue Feb 02 01:00:04 PM - Calculated RSI for GOOGL: 47.82334384858026
Tue Feb 02 01:00:05 PM - Calculated RSI for NVDA: 27.070063694265713
Tue Feb 02 01:00:06 PM - Calculated RSI for AAPL: 31.147540983605495
Tue Feb 02 01:00:07 PM - Calculated RSI for NVAX: 35.621521335806904
Tue Feb 02 01:00:08 PM - Calculated RSI for FB: 46.92982456140392
Tue Feb 02 01:01:04 PM - Calculated RSI for GOOGL: 58.030726256983115
Tue Feb 02 01:01:05 PM - Calculated RSI for NVDA: 35.999999999998934
Tue Feb 02 01:01:07 PM - Calculated RSI for AAPL: 34.5454545454552
Tue Feb 02 01:01:08 PM - Calculated RSI for NVAX: 30.981346309813446
Tue Feb 02 01:01:09 PM - Calculated RSI for FB: 42.2727272727282
Tue Feb 02 01:02:05 PM - Calculated RSI for GOOGL: 53.18725099601607
Tue Feb 02 01:02:06 PM - Calculated RSI for NVDA: 34.39490445859779
Tue Feb 02 01:02:07 PM - Calculated RSI for AAPL: 38.77551020408045
Tue Feb 02 01:02:08 PM - Calculated RSI for NVAX: 31.33716160787526
Tue Feb 02 01:02:09 PM - Calculated RSI for FB: 43.867924528302446
Tue Feb 02 01:03:05 PM - Calculated RSI for GOOGL: 45.68713450292452
Tue Feb 02 01:03:06 PM - Calculated RSI for NVDA: 30.169491525423965
Tue Feb 02 01:03:07 PM - Calculated RSI for AAPL: 25.000000000000014
Tue Feb 02 01:03:08 PM - Calculated RSI for NVAX: 25.34722222222227
Tue Feb 02 01:03:09 PM - Calculated RSI for FB: 43.601895734597974
Tue Feb 02 01:04:05 PM - Calculated RSI for GOOGL: 52.489019033674396
Tue Feb 02 01:04:06 PM - Calculated RSI for NVDA: 29.666666666666202
Tue Feb 02 01:04:07 PM - Calculated RSI for AAPL: 35.84905660377652
Tue Feb 02 01:04:09 PM - Calculated RSI for NVAX: 41.306058221872426
Tue Feb 02 01:04:10 PM - Calculated RSI for FB: 50.543478260870586
Tue Feb 02 01:05:05 PM - Calculated RSI for GOOGL: 51.39784946236598
Tue Feb 02 01:05:06 PM - Calculated RSI for NVDA: 29.765886287624866
Tue Feb 02 01:05:08 PM - Calculated RSI for AAPL: 37.25490196078596
Tue Feb 02 01:05:08 PM - Calculated RSI for NVAX: 47.46835443037974
Tue Feb 02 01:05:10 PM - Calculated RSI for FB: 53.7572254335256
Tue Feb 02 01:06:05 PM - Calculated RSI for GOOGL: 45.88492352512693
